Khushkumar Jajoo,,,,,,,
ECE 202 Project 2 Phase 3,,,,,,,
"Finding the time of flight, range and the maximum height of the hit ball",,,,,,,
,,,,,,,
Time t (s),x (ft),y (ft),y(t)/y(t+dt),,,Maximum Height (ft),= MAX(C:C)
0,0,0,"=IF(C7="""","""",C6/C7)",,,Row which has negative value,"= MATCH(MIN(D:D),D:D,0)"
0.002653225,0.3716023,0.2320868,"=IF(C8="""","""",C7/C8)",,,Time of flight (s),"=INDIRECT(ADDRESS(H6,1))"
0.00530645,0.742872,0.4637335,"=IF(C9="""","""",C8/C9)",,,Range (ft),"=INDIRECT(ADDRESS(H6,2))"
0.007959676,1.11381,0.6949408,"=IF(C10="""","""",C9/C10)",,,,
0.0106129,1.484416,0.9257093,"=IF(C11="""","""",C10/C11)",,,,
0.01326613,1.854692,1.15604,"=IF(C12="""","""",C11/C12)",,,,
0.01591935,2.224639,1.385933,"=IF(C13="""","""",C12/C13)",,,,
0.01857258,2.594256,1.615389,"=IF(C14="""","""",C13/C14)",,,,
0.0212258,2.963544,1.844408,"=IF(C15="""","""",C14/C15)",,,,
0.02387903,3.332505,2.072993,"=IF(C16="""","""",C15/C16)",,,,
0.02653225,3.701138,2.301142,"=IF(C17="""","""",C16/C17)",,,,
0.02918548,4.069445,2.528857,"=IF(C18="""","""",C17/C18)",,,,
0.0318387,4.437426,2.756138,"=IF(C19="""","""",C18/C19)",,,,
0.03449193,4.805082,2.982986,"=IF(C20="""","""",C19/C20)",,,,
0.03714515,5.172414,3.209401,"=IF(C21="""","""",C20/C21)",,,,
0.03979838,5.539422,3.435385,"=IF(C22="""","""",C21/C22)",,,,
0.0424516,5.906106,3.660937,"=IF(C23="""","""",C22/C23)",,,,
0.04510483,6.272468,3.886058,"=IF(C24="""","""",C23/C24)",,,,
0.04775805,6.638508,4.11075,"=IF(C25="""","""",C24/C25)",,,,
0.05041128,7.004227,4.335012,"=IF(C26="""","""",C25/C26)",,,,
0.0530645,7.369626,4.558845,"=IF(C27="""","""",C26/C27)",,,,
0.05571773,7.734705,4.78225,"=IF(C28="""","""",C27/C28)",,,,
0.05837095,8.099464,5.005227,"=IF(C29="""","""",C28/C29)",,,,
0.06102418,8.463905,5.227777,"=IF(C30="""","""",C29/C30)",,,,
0.0636774,8.828028,5.449901,"=IF(C31="""","""",C30/C31)",,,,
0.06633063,9.191833,5.671599,"=IF(C32="""","""",C31/C32)",,,,
0.06898386,9.555322,5.892872,"=IF(C33="""","""",C32/C33)",,,,
0.07163708,9.918495,6.11372,"=IF(C34="""","""",C33/C34)",,,,
0.07429031,10.28135,6.334143,"=IF(C35="""","""",C34/C35)",,,,
0.07694353,10.6439,6.554144,"=IF(C36="""","""",C35/C36)",,,,
0.07959676,11.00612,6.773721,"=IF(C37="""","""",C36/C37)",,,,
0.08224998,11.36804,6.992876,"=IF(C38="""","""",C37/C38)",,,,
0.08490321,11.72964,7.21161,"=IF(C39="""","""",C38/C39)",,,,
0.08755643,12.09093,7.429922,"=IF(C40="""","""",C39/C40)",,,,
0.09020966,12.45191,7.647814,"=IF(C41="""","""",C40/C41)",,,,
0.09286288,12.81258,7.865285,"=IF(C42="""","""",C41/C42)",,,,
0.09551611,13.17294,8.082338,"=IF(C43="""","""",C42/C43)",,,,
0.09816933,13.53298,8.298971,"=IF(C44="""","""",C43/C44)",,,,
0.1008226,13.89272,8.515186,"=IF(C45="""","""",C44/C45)",,,,
0.1034758,14.25215,8.730984,"=IF(C46="""","""",C45/C46)",,,,
0.106129,14.61128,8.946364,"=IF(C47="""","""",C46/C47)",,,,
0.1087822,14.97009,9.161328,"=IF(C48="""","""",C47/C48)",,,,
